background,link
"[20fall.ms.ad无奖][ee@cmu] - 2020-03-14 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610333&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@gatech] - 2020-03-14 - ee本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609640&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@columbia university] - 2020-03-13 - stats+econ本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609339&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@upenn] - 2020-02-28 - 软件工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=601494&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][hci/design/media@uw] - 2020-03-14 - 外國語文學系本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609503&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@upenn] - 2020-02-28 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=602601&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@nyu.tandon] - 2020-03-15 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610335&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@ucsd] - 2020-02-04 - finance本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609902&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@ucsd] - 2020-03-10 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609912&extra=page%3D1%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-14 - 计算数学本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609822&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@uw] - 2020-03-15 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610223&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-14 - ee本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609667&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-14 - cs本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609781&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-13 - 应用统计（精算）本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609705&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.waitinglist][stat/biostat@jhu] - 2018-01-29 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610300&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-11 - mis本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=607676&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][stat/biostat@yale] - 2020-03-12 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610326&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][stat/biostat@yale] - 2020-02-13 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610309&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@uva] - 2020-03-11 - 网络工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=607410&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][mis@uw] - 2020-03-15 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610268&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@uva] - 2020-03-12 - 信息与计算科学本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=607949&extra=page%3D2%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][stat/biostat@nyu] - 2020-03-15 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610329&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@duke] - 2020-03-14 - electronic information engineering本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609735&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@nyu.tandon] - 2020-03-14 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610327&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][datascience/analytics@uw] - 2020-01-25 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=604392&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@columbia] - 2020-03-14 - se本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610298&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][datascience/analytics@usfca] - 2020-01-17 - 本科top30,海外研究生
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=585713&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][civileng@northwestern] - 2020-03-13 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609878&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.waitinglist][mfe/fin/finmath@duke] - 2020-03-14 - cs+finance(minor)本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610272&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][stat/biostat@umich] - 2020-03-11 - statistics本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610324&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.waitinglist][cs@dartmouth] - 2020-02-25 - remote sensing本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=598763&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][mfe/fin/finmath@cmu] - 2020-03-10 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610323&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@upenn] - 2020-02-28 - remote sensing本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=601000&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@columbia] - 2020-03-14 - cs本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610269&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.waitinglist][datascience/analytics@nyu] - 2020-03-10 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609851&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@neu] - 2020-03-05 - se本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=610297&extra=page%3D3%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
